# Time(s) Pressure(Pa)
0.000000e+00 -8.458127e+04
0.000000e+00 -8.254363e+04
0.000000e+00 -8.023571e+04
0.000000e+00 -7.768111e+04
0.000000e+00 -7.490587e+04
0.000000e+00 -7.193838e+04
0.000000e+00 -6.880922e+04
0.000000e+00 -6.555099e+04
0.000000e+00 -6.219813e+04
0.000000e+00 -5.878669e+04
0.000000e+00 -5.535402e+04
0.000000e+00 -5.193856e+04
0.000000e+00 -4.857946e+04
0.000000e+00 -4.531630e+04
0.000000e+00 -4.218869e+04
0.000000e+00 -3.923593e+04
0.000000e+00 -3.649665e+04
0.000000e+00 -3.400834e+04
0.000000e+00 -3.180705e+04
0.000000e+00 -2.992694e+04
0.000000e+00 -2.839990e+04
0.000000e+00 -2.725517e+04
0.000000e+00 -2.651899e+04
0.000000e+00 -2.621423e+04
0.000000e+00 -2.636009e+04
0.000000e+00 -2.697179e+04
0.000000e+00 -2.806030e+04
0.000000e+00 -2.963214e+04
0.000000e+00 -3.168916e+04
0.000000e+00 -3.422843e+04
0.000000e+00 -3.724212e+04
0.000000e+00 -4.071748e+04
0.000000e+00 -4.463680e+04
0.000000e+00 -4.897752e+04
0.000000e+00 -5.371230e+04
0.000000e+00 -5.880921e+04
0.000000e+00 -6.423192e+04
0.000000e+00 -6.994000e+04
0.000000e+00 -7.588926e+04
0.000000e+00 -8.203204e+04
0.000000e+00 -8.831773e+04
0.000000e+00 -9.469316e+04
0.000000e+00 -1.011031e+05
0.000000e+00 -1.074909e+05
0.000000e+00 -1.137989e+05
0.000000e+00 -1.199690e+05
0.000000e+00 -1.259435e+05
0.000000e+00 -1.316654e+05
0.000000e+00 -1.370793e+05
0.000000e+00 -1.421318e+05
0.000000e+00 -1.467721e+05
0.000000e+00 -1.509527e+05
0.000000e+00 -1.546299e+05
0.000000e+00 -1.577643e+05
0.000000e+00 -1.603214e+05
0.000000e+00 -1.622716e+05
0.000000e+00 -1.635912e+05
0.000000e+00 -1.642623e+05
0.000000e+00 -1.642733e+05
0.000000e+00 -1.636186e+05
0.000000e+00 -1.622996e+05
0.000000e+00 -1.603238e+05
0.000000e+00 -1.577055e+05
0.000000e+00 -1.544652e+05
0.000000e+00 -1.506297e+05
0.000000e+00 -1.462319e+05
0.000000e+00 -1.413102e+05
0.000000e+00 -1.359085e+05
0.000000e+00 -1.300752e+05
0.000000e+00 -1.238633e+05
0.000000e+00 -1.173297e+05
0.000000e+00 -1.105340e+05
0.000000e+00 -1.035388e+05
0.000000e+00 -9.640845e+04
0.000000e+00 -8.920834e+04
0.000000e+00 -8.200448e+04
0.000000e+00 -7.486263e+04
0.000000e+00 -6.784761e+04
0.000000e+00 -6.102264e+04
0.000000e+00 -5.444867e+04
0.000000e+00 -4.818374e+04
0.000000e+00 -4.228238e+04
0.000000e+00 -3.679507e+04
0.000000e+00 -3.176775e+04
0.000000e+00 -2.724136e+04
0.000000e+00 -2.325148e+04
0.000000e+00 -1.982803e+04
0.000000e+00 -1.699500e+04
0.000000e+00 -1.477033e+04
0.000000e+00 -1.316580e+04
0.000000e+00 -1.218698e+04
0.000000e+00 -1.183336e+04
0.000000e+00 -1.209841e+04
0.000000e+00 -1.296981e+04
0.000000e+00 -1.442971e+04
0.000000e+00 -1.645504e+04
0.000000e+00 -1.901790e+04
0.000000e+00 -2.208596e+04
0.000000e+00 -2.562293e+04
0.000000e+00 -2.958909e+04
0.000000e+00 -3.394177e+04
0.000000e+00 -3.863592e+04
0.000000e+00 -4.362466e+04
0.000000e+00 -4.885984e+04
0.000000e+00 -5.429259e+04
0.000000e+00 -5.987387e+04
0.000000e+00 -6.555499e+04
0.000000e+00 -7.128811e+04
0.000000e+00 -7.702671e+04
0.000000e+00 -8.272603e+04
0.000000e+00 -8.834345e+04
0.000000e+00 -9.383885e+04
0.000000e+00 -9.917489e+04
0.000000e+00 -1.043173e+05
0.000000e+00 -1.092350e+05
0.000000e+00 -1.139005e+05
0.000000e+00 -1.182895e+05
0.000000e+00 -1.223815e+05
0.000000e+00 -1.261594e+05
0.000000e+00 -1.296096e+05
0.000000e+00 -1.327222e+05
0.000000e+00 -1.354902e+05
0.000000e+00 -1.379100e+05
0.000000e+00 -1.399809e+05
0.000000e+00 -1.417048e+05
0.000000e+00 -1.430865e+05
0.000000e+00 -1.441325e+05
0.000000e+00 -1.448518e+05
0.000000e+00 -1.452550e+05
0.000000e+00 -1.453541e+05
0.000000e+00 -1.451624e+05
0.000000e+00 -1.446942e+05
0.000000e+00 -1.439645e+05
0.000000e+00 -1.429888e+05
0.000000e+00 -1.417831e+05
0.000000e+00 -1.403633e+05
0.000000e+00 -1.387453e+05
0.000000e+00 -1.369448e+05
0.000000e+00 -1.349774e+05
0.000000e+00 -1.328581e+05
0.000000e+00 -1.306014e+05
0.000000e+00 -1.282213e+05
0.000000e+00 -1.257313e+05
0.000000e+00 -1.231443e+05
0.000000e+00 -1.204725e+05
0.000000e+00 -1.177275e+05
0.000000e+00 -1.149207e+05
0.000000e+00 -1.120625e+05
0.000000e+00 -1.091633e+05
0.000000e+00 -1.062328e+05
0.000000e+00 -1.032804e+05
0.000000e+00 -1.003153e+05
0.000000e+00 -9.734648e+04
0.000000e+00 -9.438256e+04
0.000000e+00 -9.143215e+04
0.000000e+00 -8.850372e+04
0.000000e+00 -8.560566e+04
0.000000e+00 -8.274630e+04
0.000000e+00 -7.993393e+04
0.000000e+00 -7.717677e+04
0.000000e+00 -7.448299e+04
0.000000e+00 -7.186068e+04
0.000000e+00 -6.931780e+04
0.000000e+00 -6.686216e+04
0.000000e+00 -6.450136e+04
0.000000e+00 -6.224271e+04
0.000000e+00 -6.009321e+04
0.000000e+00 -5.805944e+04
0.000000e+00 -5.614750e+04
0.000000e+00 -5.436295e+04
0.000000e+00 -5.271069e+04
0.000000e+00 -5.119494e+04
0.000000e+00 -4.981912e+04
0.000000e+00 -4.858581e+04
0.000000e+00 -4.749668e+04
0.000000e+00 -4.655242e+04
0.000000e+00 -4.575272e+04
0.000000e+00 -4.509619e+04
0.000000e+00 -4.458041e+04
0.000000e+00 -4.420180e+04
0.000000e+00 -4.395571e+04
0.000000e+00 -4.383641e+04
0.000000e+00 -4.383706e+04
0.000000e+00 -4.394978e+04
0.000000e+00 -4.416572e+04
0.000000e+00 -4.447506e+04
0.000000e+00 -4.486711e+04
0.000000e+00 -4.533038e+04
0.000000e+00 -4.585268e+04
0.000000e+00 -4.642121e+04
0.000000e+00 -4.702264e+04
0.000000e+00 -4.764329e+04
0.000000e+00 -4.826916e+04
0.000000e+00 -4.888613e+04
0.000000e+00 -4.948004e+04
0.000000e+00 -5.003683e+04
0.000000e+00 -5.054267e+04
0.000000e+00 -5.098406e+04
0.000000e+00 -5.134801e+04
0.000000e+00 -5.162210e+04
0.000000e+00 -5.179461e+04
0.000000e+00 -5.185465e+04
0.000000e+00 -5.179223e+04
0.000000e+00 -5.159835e+04
0.000000e+00 -5.126513e+04
0.000000e+00 -5.078580e+04
0.000000e+00 -5.015483e+04
0.000000e+00 -4.936793e+04
0.000000e+00 -4.842214e+04
0.000000e+00 -4.731577e+04
0.000000e+00 -4.604852e+04
0.000000e+00 -4.462138e+04
0.000000e+00 -4.303668e+04
0.000000e+00 -4.129807e+04
0.000000e+00 -3.941043e+04
0.000000e+00 -3.737990e+04
0.000000e+00 -3.521376e+04
0.000000e+00 -3.292041e+04
0.000000e+00 -3.050929e+04
0.000000e+00 -2.799080e+04
0.000000e+00 -2.537622e+04
0.000000e+00 -2.267761e+04
0.000000e+00 -1.990772e+04
0.000000e+00 -1.707992e+04
0.000000e+00 -1.420805e+04
0.000000e+00 -1.130637e+04
0.000000e+00 -8.389447e+03
0.000000e+00 -5.472033e+03
0.000000e+00 -2.568990e+03
0.000000e+00 3.048092e+02
0.000000e+00 3.134580e+03
0.000000e+00 5.905710e+03
0.000000e+00 8.603843e+03
0.000000e+00 1.121496e+04
0.000000e+00 1.372547e+04
0.000000e+00 1.612224e+04
0.000000e+00 1.839270e+04
0.000000e+00 2.052489e+04
0.000000e+00 2.250750e+04
0.000000e+00 2.432991e+04
0.000000e+00 2.598228e+04
0.000000e+00 2.745551e+04
0.000000e+00 2.874134e+04
0.000000e+00 2.983233e+04
0.000000e+00 3.072187e+04
0.000000e+00 3.140425e+04
0.000000e+00 3.187459e+04
0.000000e+00 3.212892e+04
0.000000e+00 3.216411e+04
0.000000e+00 3.197791e+04
0.000000e+00 3.156893e+04
0.000000e+00 3.093661e+04
